"ECB_00376"	"ECB_01992"	"ECB_02008"	"ECB_04210"	"ESCRE0483"	"ESCRE1328"	"ESCRE1901"	"atpC"	"cls"	"crp"	"dgt"	"fruK"	"glgC"	"glgP"	"glmM"	"glmS"	"glpF"	"glpT"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"leuX"	"mdoH"	"metH"	"motB"	"mrdA"	"mrdB"	"mreB"	"napA"	"nuoN"	"nusA"	"ompR"	"poxA"	"pta"	"rho"	"rmlA"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rsmC"	"rssB"	"secF"	"slyA"	"sufD"	"truB"	"wbbC"	"ybaL"	"ybhI"	"yccE"	"yejM"	"yhhF"	"yjgQ"	"ykgG"	"yqeA"	"yraL"
"secF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0097370048688716	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.167062122344702	0	0	0	0	0.0801128600288366	0.0467381977228303	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"slyA"	-0.00878403296599455	0	-0.01818208820016	0.00366425429806495	0	0	0	0	0	0	0	0	-0.190856175469111	0	0	0	0	0	0	0	0	0.0985834494257127	0	0	0	0	0	0	0	0	0	0	0.00930231217493278	0	0	-0.0373885320034116	0	0	0	0	0.00229560728172006	0.0565530671976708	0	0.0150802496091021	0	0	1	0	0	0	0	0	0	-0.0109407852744163	0	0	0	-0.00777878290728986	0
"sufD"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0792352171817685	0	0	0	0	0	0	0	0	0.0483406226289506	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00132841797618736	0	0	0	0	0.187353578997946	0.0516623662552355	0	0	0	0	0	1	0	0.000937745488496315	0	0	0	0	0	0	0	0	0
"truB"	0	0	0	0	0	0	0	0	0	0	0	0	-0.165746920034591	0	0.016768636726306	0	0	0	0	0	0	0.0170605592657896	0	0	0	0	0	0	0	0	0	0.00551326578777537	0	0	0	0.173981238028267	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"wbbC"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0751197754387798	0	0	0	0	0	0	0	0	0.0608325221166928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201112044421907	0.0779508704757336	0	0	0	0	0	0.000937745488496315	0	1	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0546949046518727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13526572108049	0	0	0	0	0.0305158406217797	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ybhI"	0	0	0	0	0	0	0	0	0	0	0	0	-0.122298761337697	0	0	0	0	0	0	0	0	0.0557289588479508	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.157115804546904	0	0	0	0	-0.0943236602045446	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0119626470263137	0
"yccE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00924829979648088	0	0	0	0	0	0	-0.0113364318694421	0	0	0	-0.128480454929095	0	0	0	0	-0.226874008361966	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"yejM"	0.0154317244681671	0	0.0253567149407473	0	0	0	0	0	0	0	0	0	0.223481533588079	0	0	0	0	0	0	0	0	-0.0922044067719066	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112660512429661	0	0	0	0	0	-0.015852103938221	0	-0.00660901723969002	0	0	-0.0109407852744163	0	0	0	0	0	0	1	0	0	0	0	0
"yhhF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120144247816544	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.172293964742667	0	0	0	0	0.0819510841566539	0.0500172255728582	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"yjgQ"	0	0	0	0	0	0	0	0	0	0	0	0	-0.139917889836089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000127554333559419	0	0	0	0	-0.206247909064551	-0.00749523277416191	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ykgG"	0	0	0	0	0	0	0	0	0	0	0	0	0.110113267497425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188554230064293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yqeA"	0	0	0.00135200185667454	0	0	0.0288160416928706	0	0	0	0	0	0	0.107911664764711	0	0	0	0	0	0	0	0	-0.0770794073674473	0	0.0209749340512634	0	0	0	0	0	0	0	0	0	0	0	0.202704584563578	0	0	0	0	0.0183208376398691	-0.0388624707918739	0	-0.00458433127326194	0	0	-0.00777878290728986	0	0	0	0	-0.0119626470263137	0	0	0	0	0	1	0
"yraL"	0	0	0	0	0	0	0	0	0	0	0	0	0.109326913546696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187437452901154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
